id|name|created_at|updated_at
1|adquirente|2024-03-26 11:04:03|2024-03-26 11:04:03
2|gestor oficioso|2024-03-26 11:04:03|2024-03-26 11:04:03
3|enajenante|2024-03-26 11:04:03|2024-03-26 11:04:03
4|mandatario|2024-03-26 11:04:03|2024-03-26 11:04:03
5|mandante|2024-03-26 11:04:03|2024-03-26 11:04:03
6|socio|2024-03-26 11:04:03|2024-03-26 11:04:03
7|socia|2024-03-26 11:04:03|2024-03-26 11:04:03
8|alba.hered.donataria|2024-03-26 11:04:03|2024-03-26 11:04:03
9|heredero y donatario|2024-03-26 11:04:03|2024-03-26 11:04:03
10|donante|2024-03-26 11:04:03|2024-03-26 11:04:03
11|de cujus|2024-03-26 11:04:03|2024-03-26 11:04:03
12|donataria|2024-03-26 11:04:03|2024-03-26 11:04:03
13|nudo propietario|2024-03-26 11:04:03|2024-03-26 11:04:03
14|persona moral|2024-03-26 11:04:03|2024-03-26 11:04:03
15|delegado especial|2024-03-26 11:04:03|2024-03-26 11:04:03
16|vendedor|2024-03-26 11:04:03|2024-03-26 11:04:03
17|comprador|2024-03-26 11:04:03|2024-03-26 11:04:03
18|constitutiva|2024-03-26 11:04:03|2024-03-26 11:04:03
19|asociado|2024-03-26 11:04:03|2024-03-26 11:04:03
20|mutuante|2024-03-26 11:04:03|2024-03-26 11:04:03
21|mutuario|2024-03-26 11:04:03|2024-03-26 11:04:03
22|deudor|2024-03-26 11:04:03|2024-03-26 11:04:03
23|acreedor|2024-03-26 11:04:03|2024-03-26 11:04:03
24|garante hipotecario|2024-03-26 11:04:03|2024-03-26 11:04:03
25|administrador unico|2024-03-26 11:04:03|2024-03-26 11:04:03
26|solicitante|2024-03-26 11:04:03|2024-03-26 11:04:03
27|testador|2024-03-26 11:04:03|2024-03-26 11:04:03
28|testigo|2024-03-26 11:04:03|2024-03-26 11:04:03
29|soliciante|2024-03-26 11:04:03|2024-03-26 11:04:03
30|comrador|2024-03-26 11:04:03|2024-03-26 11:04:03
31|adjudicatario|2024-03-26 11:04:03|2024-03-26 11:04:03
32|asociacion|2024-03-26 11:04:03|2024-03-26 11:04:03
33|vendedora|2024-03-26 11:04:03|2024-03-26 11:04:03
34|donatario|2024-03-26 11:04:03|2024-03-26 11:04:03
35|mandataria|2024-03-26 11:04:03|2024-03-26 11:04:03
36|presidente|2024-03-26 11:04:03|2024-03-26 11:04:03
37|tesorero|2024-03-26 11:04:03|2024-03-26 11:04:03
38|representante legal|2024-03-26 11:04:03|2024-03-26 11:04:03
39|secretario|2024-03-26 11:04:03|2024-03-26 11:04:03
40|mmandatario|2024-03-26 11:04:03|2024-03-26 11:04:03
41|apoderado gral|2024-03-26 11:04:03|2024-03-26 11:04:03
42|acreditante|2024-03-26 11:04:03|2024-03-26 11:04:03
43|representante|2024-03-26 11:04:03|2024-03-26 11:04:03
44|acreditado|2024-03-26 11:04:03|2024-03-26 11:04:03
45|enajenate|2024-03-26 11:04:03|2024-03-26 11:04:03
46|compradora|2024-03-26 11:04:03|2024-03-26 11:04:03
47|no paso|2024-03-26 11:04:03|2024-03-26 11:04:03
48|ciudadano juez|2024-03-26 11:04:03|2024-03-26 11:04:03
49|adjudicante|2024-03-26 11:04:03|2024-03-26 11:04:03
50|testadora|2024-03-26 11:04:03|2024-03-26 11:04:03
51|delegado estatal|2024-03-26 11:04:03|2024-03-26 11:04:03
52|adjudicataria|2024-03-26 11:04:03|2024-03-26 11:04:03
53|demandado|2024-03-26 11:04:03|2024-03-26 11:04:03
54|donante y solicitant|2024-03-26 11:04:03|2024-03-26 11:04:03
55|apoderado legal|2024-03-26 11:04:03|2024-03-26 11:04:03
56|acreditado y garante|2024-03-26 11:04:03|2024-03-26 11:04:03
57|acreditado y nudo pr|2024-03-26 11:04:03|2024-03-26 11:04:03
58|usufructuario|2024-03-26 11:04:03|2024-03-26 11:04:03
59|usufructuaria|2024-03-26 11:04:03|2024-03-26 11:04:03
60|traductor|2024-03-26 11:04:03|2024-03-26 11:04:03
61|acreditada|2024-03-26 11:04:03|2024-03-26 11:04:03
62|apoderada legal|2024-03-26 11:04:03|2024-03-26 11:04:03
63|cedente|2024-03-26 11:04:03|2024-03-26 11:04:03
64|cesionaria|2024-03-26 11:04:03|2024-03-26 11:04:03
65|constituida|2024-03-26 11:04:03|2024-03-26 11:04:03
66|accionista|2024-03-26 11:04:03|2024-03-26 11:04:03
67|arrendadora|2024-03-26 11:04:03|2024-03-26 11:04:03
68|copropietaria|2024-03-26 11:04:03|2024-03-26 11:04:03
69|arrendatario|2024-03-26 11:04:03|2024-03-26 11:04:03
70|fiador|2024-03-26 11:04:03|2024-03-26 11:04:03
71|acreedor/acreditante|2024-03-26 11:04:03|2024-03-26 11:04:03
72|sociedad|2024-03-26 11:04:03|2024-03-26 11:04:03
73|acreedora|2024-03-26 11:04:03|2024-03-26 11:04:03
74|donantes|2024-03-26 11:04:03|2024-03-26 11:04:03
75|obligado solidario|2024-03-26 11:04:03|2024-03-26 11:04:03
76|deudora|2024-03-26 11:04:03|2024-03-26 11:04:03
