Expediente|Numero|Inscripcion|Fojas|Tomo|Libro|Predio|Fecha|Lugar|Observaciones
58512|1|FME 36696|||||18/6/24 000000|PUEBLA, PUE.|NCI 202400194227
58511|1|FME 36696|||||18/6/24 000000|PUEBLA, PUE.|NCI 202400194120
57561|1|1794556|||||13/6/24 000000|CHOLULA, PUEBLA|FOLIO 0220805 1
58152|2|483|127 VTA|118|1||22/5/24 000000|CIUDAD SERDAN, PUE.|JOSE LUIS ORTIZ JUAREZ
58152|1|482|127 FTE|118|1||22/5/24 000000|CIUDAD SERDAN, PUE.|JOSE HECTOR ORTIZ CRUZ
58320|2|1790213|278 a 300|743|APENDICE|53282|8/6/24 000000|SAN ANDRES CHOLULA|COMPRAVENTA 
58320|1|1790208|278 a 300|743|APENDICE|53282|23/6/24 000000|SAN ANDRES CHOLULA|CANCELACION DE HIPOTECA
58271|1|1790223|308 a 326|743|APENDICE|122551|8/6/24 000000|SAN ANDRES CHOLULA|COMPRA VENTA
54260|1|31983|||||19/8/19 000000|PUEBLA, PUE.|NCI 201900202326
54119|1|FME 31983|||||19/8/19 000000|PUEBLA, PUE.|NCI 201900202332
58603|1|0|||||11/6/24 000000|CIUDAD DE MEXICO|FME N-2023010553, NCI 202400186786
56838|4|1794123|||||11/6/24 000000|CHOLULA, PUE.|FOLIO 0330440 1 CV ARMANDO
56838|3|1794119|||||11/6/24 000000|CHOLULA, PUE.|FOLIO 0330439 1 CV MARI CRUZ
56838|2|1794105|||||11/6/24 000000|CHOLULA, PUE.|FOLIO 0069151 1 SUBDIVISION
56838|1|1790966|||||11/6/24 000000|CHOLULA, PUE.|FOLIO 0069151 1 RECTIFICACION
57661|1|655|165|76|1||13/5/24 000000|ACATLAN DE OSORIO, PUEBLA|
58461|1|FME 3907|||||3/5/24 000000|PUEBLA, PUE.|NCI 202400137643
58460|1|FME 31983|||||2/5/24 000000|PUEBLA, PUE.|NCI 202400137074
58398|1|FME 31983|||||30/4/24 000000|PUEBLA, PUE.|NCI 202400133887
58353|1|FME3907|||||24/4/24 000000|PUEBLA, PUE.|NCI 202400121850
58352|1|FME 3907|||||3/5/24 000000|PUEBLA, PUE.|NCI 202400137670
58351|1|FME 3907|||||3/5/24 000000|PUEBLA, PUE.|NCI 202400137799
58350|1|FME 31983|||||30/4/24 000000|PUEBLA, PUE.|NCI 202400133765
58241|1|FME 31983|||||25/4/24 000000|PUEBLA, PUE.|NCI 202400122711
58078|1|FME 31983|||||22/4/24 000000|PUEBLA, PUE.|NCI202400112971
58075|1|FME 31983|||||1/4/24 000000|PUEBLA, PUE.|NCI 202400081594
57628|1|1100720|||MAT|158-2022|28/6/24 000000|PUEBLA|POR LA PROTOCOLIZACION
57613|1|FME 38291|||||10/6/24 000000|PUEBLA, PUE|NCI 202400185265
57612|1|FME 36345|||||10/6/24 000000|PUEBLA, PUE|NCI 202400185048
58473|1|29|9|4|5||24/5/24 000000|CHOLULA, PUE|
55895|1|390442|||||19/3/24 000000|HUEJOTZINGO, PUEBLA|FOLIO 0073612 1
58259|1|33|10|24|5||29/5/24 000000|CHOLULA, PUEBLA|
58588|1|0|||||4/6/24 000000|PUEBLA, PUE|N-2020028275 NCI202400180178
58115|1|3211881|||||13/5/24 000000|PUEBLA, PUE|FOLIO 0193294 1
58119|2|3196494|||||26/3/24 000000|CHOLULA, PUEBLA|FOLIO 0302241 1 COMPRA VENTA
58119|1|3196478|||||26/3/24 000000|CHOLULA, PUE|FOLIO 0302241 1 EXTINSION DE USUFRUCTO
58438|6|1787306|||||24/5/24 000000|CHOLULA, PUE|FOLIO 0329822 1 SIN CALLE
58438|5|1787306|||||24/5/24 000000|CHOLULA, PUE|FOLIO 0329821 1 INTERIOR 5
58438|4|1787306|||||24/5/24 000000|CHOLULA, PUE|FOLIO 0329820 1 INTERIOR 4
58438|3|1787306|||||24/5/24 000000|CHOLULA, PUE|FOLIO 0329819 1 INTERIOR 3
58438|2|1787306|||||24/5/24 000000|CHOLULA, PUE|FOLIO 0329818 1 INTERIOR 2
58438|1|1787306|||||24/5/24 000000|CHOLULA PUE|FOLIO 0329817 1 INTERIOR 1
58441|1|FME 31983|||||6/5/24 000000|PUEBLA, PUE.|NCI 202400139898
58442|1|FME 31983|||||6/5/24 000000|PUEBLA, PUE|NCI 202400139899
58550|1|0|||||23/5/24 000000|CHOLULA, PUEBLA|FME N-2018045118 NCI 202400167205
58517|1|FME 534229|||||22/5/24 000000|CIUDAD DE MXICO|NCI 202400165997
58349|1|FME 31983|||||6/5/24 000000|PUEBLA, PUE.|NCI 202400139897
58419|1|28|8 VUELTA|4|5||24/5/24 000000|CHOLULA, PUEBLA|
58463|1|FME 31983|||||28/5/24 000000|PUEBLA, PUE|NCI 202400172576
55927|1|471844|||||29/4/24 000000|TECALI DE HERRERA, PUEBLA|
58483|3|1784583|458 a 490|672|APENDICE|0012010 1|26/5/24 000000|SAN PEDRO CHOLULA, PUEBLA|ENAJE EXTRAJ DE BIENES Y D EN FIDEICOMIS
58483|2|1784573|458 a 490|672|APENDICE|0012010 1|26/5/24 000000|SAN PEDRO CHOLULA, PUEBLA|CONSTITUCION DE FIDEICOMISO
58483|1|1777341|458 a 490|672|APENDICE|0012010 1|26/5/24 000000|SAN PEDRO, CHOLULA, PUEBLA|APERTURA DE CREDITO
57906|1|1748299|||||22/5/24 000000|CHOLULA, PUE|FOLIO 0112147 1
54288|1|FME 36345|||||21/5/24 000000|PUEBLA, PUE|NCI 2024163148
54292|1|FME 37087|||||21/5/24 000000|PUEBLA, PUE|NCI 202400163678
54290|1|FME 38291|||||21/5/24 000000|PUEBLA, PUE|NCI 202400163487
57517|1|FME 534229|||||22/5/24 000000|CIUDAD DE MEXICO|NCI 202400165997
58091|5|849297|193 a 272|103|APENDICE|259776 1|13/5/24 000000|TEHUACAN, PUEBLA|ENAJENACION EXTRAJUDICIAL DEL FIDEICOMIS
58091|4|849284|193 a 272|103|APENDICE|259776 1|13/5/24 000000|TEHUACAN, PUEBLA|FIDEICOMISO
58091|3|849276|193 a 272|103|APENDICE|259776 1|13/5/24 000000|TEHUACAN, PUEBLA|HIPOTECA
58091|2|849265|193 a 272|103|APENDICE|259776 1|13/5/24 000000|TEHUACAN, PUEBLA|CANCELACION DE HIPOTECA
58091|1|849257|193 a 272|103|APENDICE|259776 1|13/5/24 000000|TEHUACAN, PUEBLA|CANCELACION DE HIPOTECA
58022|1|1776236|||||2/5/24 000000|CHOLULA, PUEBLA|FOLIO 0063863 1
55357|3|3011235|1 a 73|1216|APENDICE|39989 1|13/10/22 000000|PUEBLA, PUEBLA|COMPRAVENTA
